Learning Rate, Gamma, Reward 
0.1, 0.39999999999999997, -329.0
0.1, 0.39999999999999997, -38.0
0.1, 0.39999999999999997, -240.0
0.1, 0.39999999999999997, -64.0
0.1, 0.39999999999999997, -3.0
0.1, 0.39999999999999997, -179.0
0.1, 0.39999999999999997, -643.0
0.1, 0.39999999999999997, -28.0
0.1, 0.44999999999999996, -802.0
0.1, 0.44999999999999996, -642.0
0.1, 0.44999999999999996, -232.0
0.1, 0.44999999999999996, -308.0
0.1, 0.44999999999999996, -788.0
0.1, 0.44999999999999996, -179.0
0.1, 0.44999999999999996, -581.0
0.1, 0.44999999999999996, -962.0
0.1, 0.44999999999999996, -496.0
0.1, 0.44999999999999996, -700.0
0.1, 0.44999999999999996, -926.0
0.1, 0.44999999999999996, -233.0
0.1, 0.44999999999999996, -2120.0
0.1, 0.44999999999999996, -274.0
0.1, 0.44999999999999996, -232.0
0.1, 0.44999999999999996, -302.0
0.1, 0.44999999999999996, -655.0
0.1, 0.44999999999999996, -106.0
0.1, 0.44999999999999996, -363.0
0.1, 0.44999999999999996, -212.0
0.1, 0.44999999999999996, -646.0
0.1, 0.44999999999999996, -463.0
0.1, 0.44999999999999996, -569.0
0.1, 0.44999999999999996, -196.0
0.1, 0.44999999999999996, -479.0
0.1, 0.44999999999999996, -518.0
0.1, 0.44999999999999996, -204.0
0.1, 0.44999999999999996, -737.0
0.1, 0.44999999999999996, -187.0
0.1, 0.44999999999999996, -237.0
0.1, 0.44999999999999996, -422.0
0.1, 0.44999999999999996, -248.0
0.1, 0.44999999999999996, -33.0
0.1, 0.44999999999999996, -20.0
0.1, 0.44999999999999996, -171.0
0.1, 0.44999999999999996, -351.0
0.1, 0.44999999999999996, -243.0
0.1, 0.44999999999999996, -51.0
0.1, 0.44999999999999996, -179.0
0.1, 0.44999999999999996, -65.0
0.1, 0.44999999999999996, -135.0
0.1, 0.44999999999999996, -89.0
0.1, 0.44999999999999996, -92.0
0.1, 0.44999999999999996, -133.0
0.1, 0.44999999999999996, -52.0
0.1, 0.44999999999999996, -95.0
0.1, 0.44999999999999996, -44.0
0.1, 0.44999999999999996, -188.0
0.1, 0.44999999999999996, -19.0
0.1, 0.44999999999999996, -386.0
0.1, 0.44999999999999996, -6.0
0.1, 0.44999999999999996, -4.0
0.1, 0.44999999999999996, -479.0
0.1, 0.44999999999999996, -133.0
0.1, 0.44999999999999996, -43.0
